,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section
0,1-Mar,52.35,center,radiation,sbrt,,,,,,,,,,,,3,01,01
1,03-10A,46.88,center,radiation,sbrt,,,,,,,,,,,,3,10A,10
2,03-10B,14.51,border,radiation,sbrt,,,,,,,,,,,,3,10B,10
3,03-10C,0.76,healthy,radiation,sbrt,,,,,,,,,,,,3,10C,10
4,03-11B,7.96,border,radiation,sbrt,,,,,,,,,,,,3,11B,11
5,03-11C,2.24,healthy,radiation,sbrt,,,,,,,,,,,,3,11C,11
6,03-12A,7.61,border,radiation,sbrt,,,,,,,,,,,,3,12A,12
7,03-12B,1.47,healthy,radiation,sbrt,,,,,,,,,,,,3,12B,12
8,03-13B,1.4,healthy,radiation,sbrt,,,,,,,,,,,,3,13B,13
9,03-15A,2.96,healthy,radiation,sbrt,FALSE,575301,607444,7713978.5,12.699077610446395,1.0558716219857083,1182745,13.40859567426443,6.522097747,0.4864116948285556,8.079355228726396,3,15A,15
10,03-15B,0.68,healthy,radiation,sbrt,,,,,,,,,,,,3,15B,15
11,03-17A,1.46,healthy,radiation,sbrt,,,,,,,,,,,,3,17A,17
12,03-17B,4.21,healthy,radiation,sbrt,,,,,,,,,,,,3,17B,17
13,03-2A,61.09,center,radiation,sbrt,FALSE,573119,504072,6625148.75,13.143258800330111,0.8795241476900958,1077191,11.559813494230692,6.150393709193634,0.532049562,10.026442385797877,3,2A,2
14,03-2B,,border,radiation,sbrt,FALSE,403942,939373,12469633,13.274421342746704,2.3255145540696436,1343315,30.869860029410162,9.282731898326157,0.3007053446138843,5.4724805797597735,3,2B,2
15,03-3A,42.52,center,radiation,sbrt,,,,,,,,,,,,3,3A,3
16,03-3B,53.11,center,radiation,sbrt,,,,,,,,,,,,3,3B,3
17,03-3C,13.29,healthy,radiation,sbrt,,,,,,,,,,,,3,3C,3
18,03-4A,49.54,center,radiation,sbrt,,,,,,,,,,,,3,4A,4
19,03-4B,54.03,center,radiation,sbrt,,,,,,,,,,,,3,4B,4
20,03-4C,15.35,healthy,radiation,sbrt,,,,,,,,,,,,3,4C,4
21,03-5A,50.14,center,radiation,sbrt,FALSE,584304,321184,4359498.75,13.573212706735081,0.5496864645800816,905488,7.461011305758646,4.814529568586221,0.6452918205431767,13.25645011308819,3,5A,5
23,03-5B,70.87,center,radiation,sbrt,FALSE,784449,320221,4158290.5,12.985689570640277,0.40821136874417585,1104670,5.300906113718036,3.764282998542551,0.7101206695212144,14.648425774213113,3,5B,5
25,03-5C,3.29,healthy,radiation,sbrt,,,,,,,,,,,,3,5C,5
26,03-6A,42.14,center,radiation,sbrt,,,,,,,,,,,,3,6A,6
27,03-6B,89.04,center,radiation,sbrt,,,,,,,,,,,,3,6B,6
28,03-6C,37.97,center,radiation,sbrt,,,,,,,,,,,,3,6C,6
29,03-6D,4.65,healthy,radiation,sbrt,,,,,,,,,,,,3,6D,6
30,03-7A,38.79,center,radiation,sbrt,,,,,,,,,,,,3,7A,7
31,03-7B,68.88,center,radiation,sbrt,,,,,,,,,,,,3,7B,7
32,03-7C,86.29,center,radiation,sbrt,,,,,,,,,,,,3,7C,7
33,03-7D,0.51,healthy,radiation,sbrt,,,,,,,,,,,,3,7D,7
34,03-8B,53.59,center,radiation,sbrt,FALSE,824786,245052,2994446.25,12.219636036433084,0.2971097957530802,1069838,3.630573566961612,2.7989716667383284,0.7709447598608388,13.021201808124221,3,8B,8
