,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section,location,spacing
0,03-01,52.35,center,radiation,sbrt,,,,,,,,,,,,3,01,1,apex,3.0
1,03-10A,46.88,center,radiation,sbrt,,,,,,,,,,,,3,10A,10,base,3.0
2,03-10B,14.51,border,radiation,sbrt,,,,,,,,,,,,3,10B,10,base,3.0
3,03-10C,0.76,healthy,radiation,sbrt,,,,,,,,,,,,3,10C,10,base,3.0
4,03-11B,7.96,border,radiation,sbrt,,,,,,,,,,,,3,11B,11,base,3.0
5,03-11C,2.24,healthy,radiation,sbrt,,,,,,,,,,,,3,11C,11,base,3.0
6,03-12A,7.61,border,radiation,sbrt,,,,,,,,,,,,3,12A,12,base,3.0
7,03-12B,1.47,healthy,radiation,sbrt,,,,,,,,,,,,3,12B,12,base,3.0
8,03-13B,1.4,healthy,radiation,sbrt,,,,,,,,,,,,3,13B,13,base,3.0
9,03-15A,2.96,healthy,radiation,sbrt,,,,,,,,,,,,3,15A,15,base,3.0
10,03-15B,0.68,healthy,radiation,sbrt,,,,,,,,,,,,3,15B,15,base,3.0
11,03-17A,1.46,healthy,radiation,sbrt,,,,,,,,,,,,3,17A,17,base,3.0
12,03-17B,4.21,healthy,radiation,sbrt,,,,,,,,,,,,3,17B,17,base,3.0
13,03-2A,61.09,center,radiation,sbrt,,,,,,,,,,,,3,2A,2,apex,3.0
14,03-3A,42.52,center,radiation,sbrt,,,,,,,,,,,,3,3A,3,apex,3.0
15,03-3B,53.11,center,radiation,sbrt,,,,,,,,,,,,3,3B,3,apex,3.0
16,03-3C,13.29,healthy,radiation,sbrt,,,,,,,,,,,,3,3C,3,apex,3.0
17,03-4A,49.54,center,radiation,sbrt,,,,,,,,,,,,3,4A,4,apex,3.0
18,03-4B,54.03,center,radiation,sbrt,,,,,,,,,,,,3,4B,4,apex,3.0
19,03-4C,15.35,healthy,radiation,sbrt,,,,,,,,,,,,3,4C,4,apex,3.0
20,03-5A,50.14,center,radiation,sbrt,,,,,,,,,,,,3,5A,5,mid,3.0
21,03-5B,70.87,center,radiation,sbrt,,,,,,,,,,,,3,5B,5,mid,3.0
22,03-5C,3.29,healthy,radiation,sbrt,,,,,,,,,,,,3,5C,5,mid,3.0
23,03-6A,42.14,center,radiation,sbrt,,,,,,,,,,,,3,6A,6,mid,3.0
24,03-6B,89.04,center,radiation,sbrt,,,,,,,,,,,,3,6B,6,mid,3.0
25,03-6C,37.97,center,radiation,sbrt,,,,,,,,,,,,3,6C,6,mid,3.0
