,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section,location,spacing
1,33-06,52.30735994,center,chronicallyoccluded,kpi,FALSE,936290,403268,5172896.5,12.82744105656784,0.4307084343526044,1339558,5.524887054224653,3.8616442886384914,0.6989544312377665,14.051759610259504,33,06,6,,5
2,33-2,74.04537609,center,chronicallyoccluded,kpi,FALSE,619301,151950,1830492.75,12.04667818361303,0.2453572656914812,771251,2.9557400197965125,2.3734072954200385,0.8029824272513099,17.026505962390974,33,2,2,,5
3,34-02,75.99000099,center,chronicallyoccluded,kpi,FALSE,668283,93534,1007947.25,10.776265849851391,0.13996166294818213,761817,1.5082640887169059,1.3230831682674449,0.8772224825647105,17.610703751688398,34,02,2,,5
4,34-06,13.86583002,center,chronicallyoccluded,kpi,,,,,,,,,,,,34,06,6,,5
6,38-06,15.36206734,center,chronicallyoccluded,kpi,FALSE,943069,346050,3536259.5,10.218926455714492,0.3669402769044471,1289119,3.749735703326056,2.7431598634416217,0.7315608566780879,11.893757093022444,38,06,6,,5
7,38-2,64.45133279,center,chronicallyoccluded,kpi,FALSE,615150,80239,748983,9.334400977080971,0.13043810452735105,695389,1.2175615703486955,1.077070531745541,0.8846127850742534,15.519042938556693,38,2,2,,5
8,39-02,89.35761987,center,chronicallyoccluded,kpi,,,,,,,,,,,,39,02,2,,5
9,39-06,47.6748305,center,chronicallyoccluded,kpi,FALSE,1361442,312567,3278360.5,10.488504864557038,0.22958524858201818,1674009,2.408005996583035,1.9583888139191605,0.8132823658654165,14.65659727635873,39,06,6,,5
10,40-02,77.03352697,center,chronicallyoccluded,kpi,FALSE,542561,155564,1764870.25,11.344978594019182,0.28672167737821186,698125,3.252851292297087,2.5280146821844225,0.7771688451208595,16.174036526410028,40,02,2,,5
11,42-02,95.53123759,center,chronicallyoccluded,kpi,FALSE,488842,8274,59388,7.177664974619289,0.016925714238956554,497116,0.12148710626337345,0.11946507455000442,0.9833559973929626,19.005198484860678,42,02,2,,5
12,42-06,,center,chronicallyoccluded,kpi,FALSE,1413088,97800,930379,9.513077709611451,0.069210127,764054,0.6584013168323558,1.217687493292359,1.8494609019781325,31.426677957317153,42,06,6,,5
13,43-02,73.79505408,center,chronicallyoccluded,kpi,FALSE,601240,91394,1069527.25,11.702379259032321,0.15200918102587985,692634,1.778869087219746,1.5441448874874752,0.8680486375199601,15.922768735002903,43,02,2,,5
14,43-06,,center,chronicallyoccluded,kpi,FALSE,943885,37945,348631,9.187798128870734,0.040200872,667203,0.36935749588138383,0.522526128,1.4146893823918658,33.952800721819294,43,06,6,,5
