,Fibrosis Percentage,scar,annotation_area,expanded_analysis,group,study,location,sample,section,slide_name,subject,total_connexin_area,total_connexin_area_per_cell,total_connexin_count_per_cell,total_connexins,total_connexins_per_annotation_area,total_mean_plaque_size,total_nuclei,total_nuclei_area_per_annotation_area,total_nuclei_count_per_annotation_area
356,52.35,Center,,,radiation,sbrt,apex,1,1,03-01,3,,,,,,,,,
381,46.88,Center,,,radiation,sbrt,base,10A,10,03-10A,3,,,,,,,,,
382,14.51,Border,,,radiation,sbrt,base,10B,10,03-10B,3,,,,,,,,,
383,0.76,Healthy,,,radiation,sbrt,base,10C,10,03-10C,3,,,,,,,,,
384,7.96,Border,,,radiation,sbrt,base,11B,11,03-11B,3,,,,,,,,,
385,2.24,Healthy,,,radiation,sbrt,base,11C,11,03-11C,3,,,,,,,,,
386,7.61,Border,,,radiation,sbrt,base,12A,12,03-12A,3,,,,,,,,,
387,1.47,Healthy,,,radiation,sbrt,base,12B,12,03-12B,3,,,,,,,,,
388,1.4,Healthy,,,radiation,sbrt,base,13B,13,03-13B,3,,,,,,,,,
389,2.96,Healthy,,,radiation,sbrt,base,15A,15,03-15A,3,,,,,,,,,
390,0.68,Healthy,,,radiation,sbrt,base,15B,15,03-15B,3,,,,,,,,,
391,1.46,Healthy,,,radiation,sbrt,base,17A,17,03-17A,3,,,,,,,,,
392,4.21,Healthy,,,radiation,sbrt,base,17B,17,03-17B,3,,,,,,,,,
357,61.09,Center,,,radiation,sbrt,apex,2A,2,03-2A,3,,,,,,,,,
358,42.52,Center,,,radiation,sbrt,apex,3A,3,03-3A,3,,,,,,,,,
359,53.11,Center,,,radiation,sbrt,apex,3B,3,03-3B,3,,,,,,,,,
360,13.29,Healthy,,,radiation,sbrt,apex,3C,3,03-3C,3,,,,,,,,,
361,49.54,Center,,,radiation,sbrt,apex,4A,4,03-4A,3,,,,,,,,,
362,54.03,Center,,,radiation,sbrt,apex,4B,4,03-4B,3,,,,,,,,,
363,15.35,Healthy,,,radiation,sbrt,apex,4C,4,03-4C,3,,,,,,,,,
364,50.14,Center,,,radiation,sbrt,mid,5A,5,03-5A,3,,,,,,,,,
365,70.87,Center,,,radiation,sbrt,mid,5B,5,03-5B,3,,,,,,,,,
366,3.29,Healthy,,,radiation,sbrt,mid,5C,5,03-5C,3,,,,,,,,,
367,42.14,Center,,,radiation,sbrt,mid,6A,6,03-6A,3,,,,,,,,,
